Start = 00031946,End = 00031946,Country:United States,Location : nan,Type:Miscellaneous accident,Sub_Type:Other,Names:Stadium,Killed = 32. 999999,Affected = 500.0,Cost = nan,ID = 1946-0008
Start = 21061990,End = 21061990,Country:Iran Islam Rep,Location : Rasht:Astara:Zanjan:Gh ...,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = 39999. 999999,Affected = 710000.0,Cost = 8000.0,ID = 1990-0034
Start = 06001993,End = 06001993,Country:China,Location : South,Type:Flood,Sub_Type:nan,Names:nan,Killed = 999. 999999,Affected = nan,Cost = 6061.0,ID = 1993-0568
Start = 27012001,End = 27012001,Country:United States,Location : Beyers (Denver:Colorado) ...,Type:Transport Accident,Sub_Type:Air,Names:nan,Killed = 9. 999999,Affected = nan,Cost = nan,ID = 2001-0036
Start = 17021974,End = 17021974,Country:Egypt,Location : Cairo,Type:Miscellaneous accident,Sub_Type:Other,Names:Stadium,Killed = 47. 999999,Affected = nan,Cost = nan,ID = 1974-0160
Start = 26011985,End = 26011985,Country:Philippines,Location : Tanjay:Pamplona,Type:Flood,Sub_Type:General flood,Names:nan,Killed = 42. 999999,Affected = 444.0,Cost = nan,ID = 1985-0342
Start = 27122005,End = 00012006,Country:Czech Rep,Location : East,Type:Extreme temperature,Sub_Type:Extreme winter conditions,Names:nan,Killed = 14. 999999,Affected = nan,Cost = nan,ID = 2005-0713
Start = 04062004,End = 07062004,Country:Macedonia FRY,Location : Jegunovce:Dzepciste:Str ...,Type:Flood,Sub_Type:General flood,Names:nan,Killed = nan,Affected = 100000.0,Cost = 3.6,ID = 2004-0252
Start = 03282000,End = 03282000,Country:China,Location : Qixian (Shanxi province: ...,Type:Storm,Sub_Type:nan,Names:nan,Killed = 15. 999999,Affected = 53.0,Cost = nan,ID = 2000-0156
Start = 00001977,End = 00001977,Country:Colombia,Location : Pasacabalo,Type:Industrial Accident,Sub_Type:Other,Names:nan,Killed = 29. 999999,Affected = 22.0,Cost = nan,ID = 1977-0252
Start = 04111909,End = 04111909,Country:Jamaica,Location : St Thomas:St Andrew,Type:Mass movement wet,Sub_Type:Landslide,Names:nan,Killed = 52. 999999,Affected = nan,Cost = nan,ID = 1909-0016
Start = 24031999,End = 06051999,Country:Nigeria,Location : Kano:Adamawa:Edo,Type:Epidemic,Sub_Type:Bacterial Infectious Diseases,Names:Cholera,Killed = 88. 999999,Affected = 1122.0,Cost = nan,ID = 1999-0501
Start = 00051987,End = 00051987,Country:St Kitts and Nevis,Location : nan,Type:Flood,Sub_Type:nan,Names:nan,Killed = nan,Affected = nan,Cost = 0.5,ID = 1987-0089
Start = 00072003,End = 00072003,Country:Czech Rep,Location : nan,Type:Extreme temperature,Sub_Type:Heat wave,Names:nan,Killed = 417. 999999,Affected = nan,Cost = nan,ID = 2003-0391
Start = 00081946,End = 00081946,Country:Dominican Rep,Location : nan,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = 72. 999999,Affected = nan,Cost = nan,ID = 1946-0021
Start = 19122003,End = 07012004,Country:Philippines,Location : Liloan:San Francisco:Ma ...,Type:Mass movement wet,Sub_Type:Landslide,Names:nan,Killed = 254. 999999,Affected = 217988.0,Cost = 7.0,ID = 2003-0610
Start = 29121981,End = 29121981,Country:Portugal,Location : Lisbon,Type:Flood,Sub_Type:nan,Names:nan,Killed = 29. 999999,Affected = 900.0,Cost = nan,ID = 1981-0114
Start = 17122000,End = 17122000,Country:Brazil,Location : Minas Gerais state,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 9. 999999,Affected = 19.0,Cost = nan,ID = 2000-0802
Start = 03101992,End = 03101992,Country:United States,Location : Florida,Type:Storm,Sub_Type:Local storm,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 1992-0272
Start = 21051991,End = 21051991,Country:United States,Location : Texas,Type:Flood,Sub_Type:General flood,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 1991-0504
Start = 14072001,End = 14072001,Country:Russia,Location : Near Moscow,Type:Transport Accident,Sub_Type:Air,Names:IL-76 cargo,Killed = 9. 999999,Affected = nan,Cost = nan,ID = 2001-0416
Start = 27111998,End = 27111998,Country:Cote d'Ivoire,Location : Near Toumodi,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 9. 999999,Affected = 40.0,Cost = nan,ID = 1998-0396
Start = 06051994,End = 06051994,Country:Bangladesh,Location : Tetulia river,Type:Transport Accident,Sub_Type:Water,Names:Ferry,Killed = 39. 999999,Affected = nan,Cost = nan,ID = 1994-0328
Start = 18021990,End = 18021990,Country:Chile,Location : Near Valvidia,Type:Transport Accident,Sub_Type:Water,Names:Bateau de pêche 'Valdivia',Killed = 27. 999999,Affected = nan,Cost = nan,ID = 1990-0485
Start = 07042006,End = 24052006,Country:Bulgaria,Location : Vidin:Lom:Oryzhovo:Som ...,Type:Flood,Sub_Type:General flood,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 2006-0209
Start = 01012006,End = 01032006,Country:Iraq,Location : Al Suleimaniyah:Al Amara ...,Type:Epidemic,Sub_Type:Viral Infectious Diseases,Names:Avion Influenza H5N1,Killed = 1. 999999,Affected = nan,Cost = nan,ID = 2004-0515
Start = 00042000,End = 00042000,Country:Somalia,Location : Gedo region,Type:Epidemic,Sub_Type:nan,Names:Acute watery diarrhoeal syndrome,Killed = 389. 999999,Affected = nan,Cost = nan,ID = 2000-0221
Start = 01032007,End = 02032007,Country:United States,Location : Alabama:Missouri:Georgi ...,Type:Storm,Sub_Type:Local storm,Names:nan,Killed = 19. 999999,Affected = 20.0,Cost = 600.0,ID = 2007-0083
Start = 22071994,End = 22071994,Country:Mexico,Location : Jalisco State,Type:Volcano,Sub_Type:Volcanic eruption,Names:Colima,Killed = nan,Affected = 700.0,Cost = nan,ID = 1994-0169
Start = 30101978,End = 30101978,Country:Argentina,Location : Cordoba,Type:Storm,Sub_Type:nan,Names:nan,Killed = 4. 999999,Affected = 100.0,Cost = nan,ID = 1978-0127
Start = 28102001,End = 28102001,Country:Peru,Location : Jachahuanca (South-East),Type:Mass movement wet,Sub_Type:Landslide,Names:nan,Killed = 19. 999999,Affected = 150.0,Cost = nan,ID = 2001-0604
Start = 07091965,End = 07091965,Country:United States,Location : Florida:Louisiana:Alaba ...,Type:Storm,Sub_Type:Tropical cyclone,Names:Betsy,Killed = 298. 999999,Affected = nan,Cost = 1420.0,ID = 1965-0053
Start = 09092007,End = 09092007,Country:Indonesia,Location : Situbondo (Java Isl.),Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = 469.0,Cost = nan,ID = 2007-0485
Start = 01071996,End = 20101996,Country:Benin,Location : Kerou district (Atacora)  ...,Type:Epidemic,Sub_Type:Viral Infectious Diseases,Names:Yellow fever,Killed = 64. 999999,Affected = 21.0,Cost = nan,ID = 1996-0211
Start = 00081986,End = 00081986,Country:Australia,Location : Sydney:New South Wales,Type:Storm,Sub_Type:nan,Names:nan,Killed = 3. 999999,Affected = nan,Cost = 68.055,ID = 1986-0216
Start = 25062001,End = 25062001,Country:Turkey,Location : Osmaniye province,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = 480.0,Cost = nan,ID = 2001-0358
Start = 00011954,End = 00011954,Country:Indonesia,Location : nan,Type:Volcano,Sub_Type:Volcanic eruption,Names:nan,Killed = 36. 999999,Affected = nan,Cost = nan,ID = 1954-0042
Start = 15052008,End = 15052008,Country:Niger,Location : Between Agadez-Tanout,Type:Transport accident,Sub_Type:Road,Names:nan,Killed = 20. 999999,Affected = 40.0,Cost = nan,ID = 2008-0232
Start = 05201998,End = 05201998,Country:China,Location : Hubei:Sichuan,Type:Storm,Sub_Type:nan,Names:nan,Killed = 16. 999999,Affected = 11000038.0,Cost = 37.2,ID = 1998-0444
Start = 17051992,End = 17051992,Country:Mexico,Location : Tultitlan,Type:Industrial Accident,Sub_Type:Fire,Names:Factory,Killed = nan,Affected = nan,Cost = 30.0,ID = 1992-0341
Start = 04112004,End = 04112004,Country:Denmark,Location : Kolding,Type:Industrial Accident,Sub_Type:Explosion,Names:Fireworks factory,Killed = 0. 999999,Affected = 2072.0,Cost = nan,ID = 2004-0593
Start = 24081982,End = 24081982,Country:France,Location : South-East departments,Type:Wildfire,Sub_Type:Forest fire,Names:nan,Killed = 1. 999999,Affected = 18.0,Cost = nan,ID = 1982-0304
Start = 00001981,End = 00001981,Country:Mexico,Location : Montana,Type:Industrial Accident,Sub_Type:Chemical Spill,Names:Chlorine,Killed = 28. 999999,Affected = 6000.0,Cost = nan,ID = 1981-0265
Start = 06122000,End = 06122000,Country:Fiji,Location : Viti Levu Isl.,Type:Flood,Sub_Type:Storm surge/coastal flood,Names:nan,Killed = 3. 999999,Affected = nan,Cost = nan,ID = 2000-0806
